key,tokenizer,technique,mcc,m_f1,w_f1,acc
107,WhitespaceTokenizer,BiLSTM,0.0,0.355204153882464,0.3913486468470779,0.5508784773060029
375,SyllableTokenizer,LSTM,0.0,0.3585453905080567,0.4008227399173114,0.5589567604667124
206,ToktokTokenizer,LR,0.002081783285788591,0.398454197524728,0.4301507130719099,0.5475634866163349
412,WhitespaceTokenizer,BiLSTM,0.0,0.3588840975094606,0.4017925462302211,0.5597803706245711
504,NLTKWordTokenizer,SGDC,-0.03955647347200552,0.4795672052579072,0.4852810371146163,0.4835964310226493
114,SyllableTokenizer,KNN,-0.02640981769381617,0.4590198335766602,0.4514170130175238,0.4670571010248902
144,TweetTokenizer,GB,-0.00836043597959828,0.3711987702553948,0.4138524906292125,0.5591142020497804
165,TweetTokenizer,SGDC,0.0024015373076516373,0.4352349359482447,0.4652382733546122,0.5467398764584763
375,SyllableTokenizer,BNB,-0.011700448019407894,0.3823867269726426,0.42065356705893703,0.5529169526424159
111,NLTKWordTokenizer,SGDC,-0.004369241780997267,0.4723989606034239,0.4657479134193874,0.4789531478770132
330,NLTKWordTokenizer,BNB,-0.006578425820375736,0.4923924621450254,0.5035381865566938,0.5128486712057984
347,TreebankWordTokenizer,CNN,0.0,0.3594090749208583,0.4032991354646749,0.5610586426531957
180,WhitespaceTokenizer,GB,-0.005425190258705944,0.3684514159598337,0.4100077696909049,0.5579958819492107
197,WhitespaceTokenizer,SGDC,0.00971061957447913,0.5038330502504859,0.5077987415784089,0.5062457103637612
440,SyllableTokenizer,CNN,0.0,0.3574200832686472,0.3976131609390947,0.5562266637381946
507,TreebankWordTokenizer,CNN,0.0033641330073197885,0.3640689519722246,0.41561160933220737,0.5710363761153054
86,ToktokTokenizer,GB,0.004686950485129031,0.3704856762595772,0.40821858681559103,0.5543557833089312
118,TweetTokenizer,SGDC,-0.007064357010548874,0.460815064698527,0.4879106857029801,0.5387994143484627
50,ToktokTokenizer,KNN,0.004235852504074535,0.4694409765570814,0.4610828399590799,0.4798682284040995
