key,tokenizer,technique,mcc,m_f1,w_f1,acc
460,MWETokenizer,SGDC,-0.0471113433134608,0.4763711269418933,0.5054881070709699,0.5040322580645161
128,TweetTokenizer,BNB,0.0,0.2954545454545454,0.2478005865102639,0.4193548387096774
206,SyllableTokenizer,BiLSTM,0.0,0.3906633906633907,0.5009312831893478,0.6411290322580645
275,TreebankWordTokenizer,CNN,0.0,0.3784461152882205,0.4608497049074298,0.6088709677419355
100,TreebankWordTokenizer,LSTM,0.2085822057886075,0.5587698421867419,0.6381861053077221,0.6895161290322581
240,NLTKWordTokenizer,LR,0.1789951859025293,0.5310574792102962,0.5682959559197285,0.625
110,MWETokenizer,BiLSTM,0.0,0.3980582524271844,0.5264641403069213,0.6612903225806451
238,SyllableTokenizer,BNB,0.0,0.2640949554896142,0.1895520245046425,0.3588709677419355
270,MWETokenizer,BiLSTM,0.0,0.3906633906633907,0.5009312831893478,0.6411290322580645
265,ToktokTokenizer,LSTM,0.0,0.359173126614987,0.4026214887055096,0.5604838709677419
301,NLTKWordTokenizer,LSTM,0.0,0.3921568627450979,0.5060088551549652,0.6451612903225806
176,WhitespaceTokenizer,KNN,-0.0449348487148239,0.4679593207015705,0.478132314959748,0.4717741935483871
252,MWETokenizer,KNN,0.10351824056502999,0.5298616949376062,0.5471524865292283,0.5362903225806451
312,TweetTokenizer,KNN,0.0820257564548541,0.5038305762943445,0.5066541210767486,0.5040322580645161
62,TweetTokenizer,LSTM,0.1526602843909382,0.4945652173913043,0.5359835203366059,0.6129032258064516
279,MWETokenizer,LR,0.0746681283444307,0.4972863401556267,0.5667625711109658,0.625
221,TreebankWordTokenizer,LSTM,0.0,0.38,0.4658064516129032,0.6129032258064516
464,TreebankWordTokenizer,SGDC,0.0975331279461849,0.5384012539184952,0.5444053999393265,0.5403225806451613
271,ToktokTokenizer,LR,0.0639152564470086,0.4591803484145883,0.5574184654071778,0.6491935483870968
184,NLTKWordTokenizer,KNN,0.0812925153387724,0.5376584638329605,0.5632171465685213,0.5564516129032258
10,ToktokTokenizer,LSTM,0.0857142857142857,0.5294642857142857,0.5644729262672811,0.5887096774193549
437,TweetTokenizer,LR,0.0609121113889766,0.4622846057286317,0.532051919176302,0.6169354838709677
385,TweetTokenizer,LSTM,0.0,0.3641025641025641,0.4169561621174524,0.5725806451612904
363,TreebankWordTokenizer,LSTM,0.0,0.3624678663239075,0.4121610415457335,0.5685483870967742
84,TreebankWordTokenizer,KNN,-0.11958952353628,0.4267564646212688,0.4543449282125971,0.439516129032258
496,WhitespaceTokenizer,CNN,0.0,0.4009661835748792,0.5367773102695963,0.6693548387096774
412,TreebankWordTokenizer,BiLSTM,0.0,0.39364303178484095,0.5111010332045114,0.6491935483870968
282,TweetTokenizer,BNB,0.0,0.2619047619047619,0.1858678955453149,0.3548387096774194
138,ToktokTokenizer,BNB,0.0,0.2484848484848484,0.1643206256109481,0.3306451612903225
103,TreebankWordTokenizer,LSTM,0.0,0.3965936739659367,0.5213287811003846,0.657258064516129
15,MWETokenizer,KNN,0.0799635033164887,0.5342368407695042,0.5616961477311616,0.5524193548387096
24,MWETokenizer,CNN,0.0,0.3815461346633416,0.4707786984152521,0.6169354838709677
188,TreebankWordTokenizer,CNN,0.1452724166733939,0.4937860114203033,0.5981827698611343,0.6814516129032258
414,MWETokenizer,CNN,0.0,0.3830845771144278,0.475766329642112,0.6209677419354839
433,ToktokTokenizer,LR,-0.0456677084777141,0.4370468319559228,0.5114433484404161,0.5846774193548387
302,ToktokTokenizer,SGDC,0.0186118817263342,0.4686872787136639,0.5501672082657698,0.6169354838709677
188,SyllableTokenizer,BNB,0.0,0.2619047619047619,0.1858678955453149,0.3548387096774194
125,NLTKWordTokenizer,KNN,0.0674728156586925,0.4997354497354497,0.5242020822665984,0.5080645161290323
347,NLTKWordTokenizer,KNN,-0.1163054279100095,0.4193170731707316,0.4204122738001573,0.4193548387096774
276,TreebankWordTokenizer,GB,-0.0597719230337493,0.4474417124214211,0.5007713494379801,0.5483870967741935
138,ToktokTokenizer,KNN,-0.1204136159684673,0.4302702702702703,0.4676198779424587,0.4516129032258064
77,SyllableTokenizer,KNN,0.0125081459767524,0.5009894404257088,0.5196017294420886,0.5120967741935484
166,WhitespaceTokenizer,SGDC,0.1134234574105711,0.5362457229251213,0.5873986400634534,0.6209677419354839
247,TweetTokenizer,LR,-0.0189204460493618,0.4705487668503344,0.533613929019534,0.5766129032258065
357,TreebankWordTokenizer,SGDC,-0.0594841610316716,0.4537551410248913,0.5057826901904121,0.5443548387096774
35,WhitespaceTokenizer,LSTM,0.126766060295244,0.4798728096881132,0.5396962316487383,0.625
18,ToktokTokenizer,KNN,0.0183322335446147,0.5004029008863821,0.5275662187101974,0.5161290322580645
126,NLTKWordTokenizer,SGDC,0.0275668444942711,0.4992233612923268,0.5497048772910842,0.5806451612903226
5,WhitespaceTokenizer,GB,0.0890874657197996,0.5044955044955045,0.5586993651509781,0.6129032258064516
183,ToktokTokenizer,GB,0.114771431667083,0.551131221719457,0.5967887899576705,0.6129032258064516
4,TreebankWordTokenizer,LR,0.0152770711237315,0.4758592387401252,0.5317128181706862,0.5846774193548387
19,MWETokenizer,CNN,0.1395849123872625,0.4261356716599683,0.4928488927127653,0.6169354838709677
99,SyllableTokenizer,KNN,-0.1269111148524012,0.4107319648868061,0.4366005863554199,0.4193548387096774
16,TweetTokenizer,GB,0.1122281862650983,0.4814016855712565,0.5235445441741907,0.6008064516129032
372,MWETokenizer,BNB,0.0,0.2462006079027355,0.1608245906461417,0.3266129032258064
156,TweetTokenizer,KNN,-0.0651919772321803,0.4417694265022509,0.4509183667026563,0.4435483870967742
316,WhitespaceTokenizer,BNB,0.0,0.2274143302180685,0.1338810169832177,0.2943548387096774
2,TreebankWordTokenizer,GB,-0.0293681340211096,0.4540421543625624,0.5317140317904953,0.592741935483871
504,MWETokenizer,GB,-0.0561131717749694,0.4290180174471411,0.4864652811704288,0.5604838709677419
296,NLTKWordTokenizer,LR,0.0232992688967948,0.4347330586481985,0.4856864913168767,0.5806451612903226
317,ToktokTokenizer,GB,0.0738489869049451,0.4646826490309543,0.5346610488389526,0.6209677419354839
391,MWETokenizer,LSTM,0.0,0.39364303178484095,0.5111010332045114,0.6491935483870968
389,NLTKWordTokenizer,KNN,0.1504504063037567,0.5479166666666666,0.5452116935483872,0.5483870967741935
224,WhitespaceTokenizer,CNN,0.0,0.3705583756345177,0.4363026035696741,0.5887096774193549
440,SyllableTokenizer,KNN,0.0785506569299375,0.4949741785184822,0.5023807421724938,0.4959677419354839
316,MWETokenizer,BiLSTM,0.0,0.38,0.4658064516129032,0.6129032258064516
511,ToktokTokenizer,GB,0.0008878364603213,0.439284032030146,0.522319298618814,0.6129032258064516
39,NLTKWordTokenizer,KNN,0.0459732445453108,0.5070878299577851,0.5207121582790613,0.5120967741935484
392,SyllableTokenizer,LSTM,0.0,0.3921568627450979,0.5060088551549652,0.6451612903225806
401,WhitespaceTokenizer,GB,0.0195353435280803,0.4443377504641188,0.4924378060138234,0.5766129032258065
440,NLTKWordTokenizer,GB,0.0609121113889766,0.4622846057286317,0.532051919176302,0.6169354838709677
78,WhitespaceTokenizer,BNB,0.0,0.2552552552552552,0.1749733604572314,0.3427419354838709
315,ToktokTokenizer,BNB,0.0,0.2597014925373134,0.1822099181511796,0.3508064516129032
243,MWETokenizer,LSTM,0.0,0.3906633906633907,0.5009312831893478,0.6411290322580645
488,SyllableTokenizer,KNN,0.109801023026125,0.5503626107977437,0.5715928881495151,0.5645161290322581
416,NLTKWordTokenizer,LR,0.0533298000496713,0.5180957007529754,0.5887704012473849,0.6129032258064516
148,TreebankWordTokenizer,LR,-0.1114346912666357,0.3997961956521739,0.4560067496493688,0.5403225806451613
252,WhitespaceTokenizer,LR,0.0123287932261106,0.4686872787136639,0.5524305396422171,0.6169354838709677
476,WhitespaceTokenizer,BNB,0.0,0.2748538011695907,0.208356913789851,0.3790322580645161
361,WhitespaceTokenizer,LR,0.0277648937866467,0.467897336248077,0.5097706598133623,0.5725806451612904
78,ToktokTokenizer,LSTM,0.0,0.4024096385542168,0.5419549164399533,0.6733870967741935
159,TweetTokenizer,SGDC,-0.002794914445054,0.4797771222549983,0.4749389412249817,0.4838709677419355
170,TreebankWordTokenizer,GB,0.037282185960072,0.4657743385966747,0.5145550896769472,0.5846774193548387
249,TreebankWordTokenizer,BiLSTM,0.0,0.3721518987341772,0.4411800734993875,0.592741935483871
213,ToktokTokenizer,BNB,0.0,0.2914285714285714,0.2397235023041474,0.4112903225806452
499,SyllableTokenizer,LR,-0.072484975285747,0.4425574425574425,0.5140504656633689,0.5645161290322581
219,TreebankWordTokenizer,GB,-0.0263122342467734,0.4813762626262626,0.5515334799608993,0.5725806451612904
452,ToktokTokenizer,CNN,0.0,0.3980582524271844,0.5264641403069213,0.6612903225806451
204,WhitespaceTokenizer,LR,-0.0512286132139273,0.4328759752488565,0.5119915471200326,0.5887096774193549
294,MWETokenizer,LR,-0.0552457859431116,0.4464285714285715,0.5516993087557605,0.6129032258064516
43,TreebankWordTokenizer,CNN,0.0,0.3861386138613861,0.48578728840626,0.6290322580645161
326,TweetTokenizer,CNN,0.0,0.4052757793764988,0.552351667053454,0.6814516129032258
228,NLTKWordTokenizer,BiLSTM,0.0,0.3815461346633416,0.4707786984152521,0.6169354838709677
408,NLTKWordTokenizer,BiLSTM,0.0,0.3876543209876543,0.4908203902827559,0.6330645161290323
136,NLTKWordTokenizer,GB,0.1255385352273748,0.5015138793476325,0.6077858293670433,0.6814516129032258
4,SyllableTokenizer,GB,-0.0415353027841896,0.4414811653983832,0.5424620681164175,0.6169354838709677
434,MWETokenizer,LSTM,0.0,0.3951219512195121,0.5162077104642013,0.6532258064516129
213,MWETokenizer,BNB,0.0,0.2914285714285714,0.2397235023041474,0.4112903225806452
140,WhitespaceTokenizer,BNB,0.0,0.2574850299401198,0.1785783272165347,0.3467741935483871
185,WhitespaceTokenizer,KNN,-0.1040209270575169,0.4470874193278015,0.4679618829776592,0.4637096774193548
22,SyllableTokenizer,BNB,0.0,0.2507552870090634,0.1678442646915505,0.3346774193548387
